,Buurtnaam,Buurtcode,age,house_type,edu,feeling_safe,nuisance,pop_density,offices,shops,facilities,horeca,creative,tourism,single_rate,water_perc,avg_income,home_value,perc_westers,perc_man,avg_pp_household,crime_index,party
376,RI Oost terrein,3633405,1,2,1,1,1,1,1,0,1,0,1,0,2,0,0,0,1,1,0,1,GROENLINKS
377,Rieteiland Oost,3635100,2,2,2,1,1,0,0,0,0,1,0,0,1,0,1,1,1,1,2,1,D66
378,Haveneiland Noord,3635102,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,D66
379,Haveneiland Oost,3635101,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,D66
380,Oosterparkbuurt Noordwest,3632800,1,0,2,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,0,1,GROENLINKS
381,Oosterparkbuurt Zuidwest,3632803,1,0,2,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,0,1,GROENLINKS
382,Oosterpark,3632801,2,0,2,1,1,0,0,1,0,0,0,0,2,1,1,1,1,1,0,1,GROENLINKS
383,Oosterparkbuurt Zuidoost,3632802,1,0,2,1,1,2,1,1,2,1,1,1,1,0,1,1,1,1,0,1,GROENLINKS
384,Swammerdambuurt,3632700,1,0,2,0,1,1,1,1,1,1,1,1,2,1,1,1,2,1,0,1,GROENLINKS
385,Weesperzijde Midden/Zuid,3632701,1,0,2,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,0,1,GROENLINKS
386,Parooldriehoek,3632702,2,0,2,0,1,1,0,1,0,0,0,0,2,0,1,1,2,1,0,1,GROENLINKS
387,Transvaalbuurt West,3633000,1,0,2,1,1,2,1,1,1,1,1,1,1,0,0,1,0,1,0,1,GROENLINKS
388,Transvaalbuurt Oost,3633001,1,0,2,1,1,2,1,1,2,1,1,1,1,0,0,1,0,1,0,1,GROENLINKS
389,Dapperbuurt Noord,3632900,1,0,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,GROENLINKS
390,Dapperbuurt Zuid,3632901,1,0,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,GROENLINKS
391,Oostpoort,3632902,2,2,2,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,GROENLINKS
392,Noordwestkwadrant Indische buurt Noord,3633100,1,0,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,GROENLINKS
393,Noordwestkwadrant Indische buurt Zuid,3633101,1,0,2,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,0,1,GROENLINKS
394,Zuidwestkwadrant Indische buurt,3633102,2,0,2,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,1,1,GROENLINKS
395,Noordoostkwadrant Indische buurt,3633200,2,0,2,1,1,2,1,1,1,1,1,1,1,0,0,1,0,1,0,1,GROENLINKS
396,Zeeburgerdijk Oost,3633202,2,2,2,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,GROENLINKS
397,Zuidoostkwadrant Indische buurt,3633201,1,0,2,1,1,2,0,0,0,0,0,0,1,0,0,1,0,1,0,1,GROENLINKS
398,Flevopark,3633203,2,0,2,1,1,0,0,0,0,0,0,0,1,1,0,1,2,2,0,1,GROENLINKS
399,De Omval,3635807,2,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,2,1,0,1,D66
400,Amstelkwartier Noord,3635806,1,2,1,1,1,1,1,0,1,0,1,0,2,1,1,1,1,1,0,1,D66
401,Weespertrekvaart,3635801,2,2,1,1,1,0,1,0,1,1,1,0,2,1,1,0,0,1,0,1,D66
402,Amstelkwartier Zuid,3635808,2,2,1,1,1,0,1,0,0,0,1,0,1,1,1,0,1,1,0,1,D66
403,Amstelkwartier West,3635809,2,2,1,1,1,0,1,0,0,0,0,0,2,1,1,0,1,1,0,1,D66
404,Amstelglorie,3635804,2,0,1,1,1,0,0,1,0,0,0,0,2,1,1,1,2,1,1,1,D66
405,Overamstel,3635805,1,0,1,1,1,0,0,1,0,0,1,0,2,1,1,1,1,1,1,1,D66
406,Don Bosco,3635503,2,0,2,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,GROENLINKS
407,De Eenhoorn,3635501,1,1,2,1,0,1,1,0,1,0,1,1,2,0,1,1,1,1,0,1,GROENLINKS
408,Van der Kunbuurt,3635508,2,0,2,1,0,1,0,0,0,0,0,0,1,1,1,1,0,1,0,1,GROENLINKS
409,Frankendael,3635504,2,0,2,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,GROENLINKS
410,Tuindorp Frankendael,3635507,2,0,2,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,0,1,GROENLINKS
411,Julianapark,3635502,1,0,2,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,1,GROENLINKS
412,De Wetbuurt,3635506,2,0,2,1,0,1,1,0,1,0,1,0,1,0,1,1,1,1,0,1,GROENLINKS
413,Tuindorp Amstelstation,3635505,2,0,2,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,GROENLINKS
414,Drieburg,3635702,2,0,2,1,1,1,1,1,0,1,0,0,2,0,0,1,0,0,1,0,PVV
415,Nieuwe Oosterbegraafplaats,3635701,2,0,2,1,1,1,1,1,0,1,0,0,2,0,0,1,0,0,1,0,PVV
416,Betondorp,3635700,2,0,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,PVV
417,Linnaeusparkbuurt,3635600,2,0,2,0,0,1,1,1,1,1,1,1,1,0,1,1,2,1,1,0,GROENLINKS
418,Middenmeer Zuid,3635602,2,0,2,0,0,1,1,1,2,1,1,1,1,0,1,1,2,1,1,0,GROENLINKS
419,Sportpark Middenmeer Zuid,3635603,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,GROENLINKS
420,Park de Meer,3635605,2,2,2,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,GROENLINKS
421,Middenmeer Noord,3635601,2,0,2,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0,GROENLINKS
422,Sportpark Middenmeer Noord,3635604,2,2,2,0,0,0,1,0,0,0,0,0,2,0,1,1,1,1,1,0,GROENLINKS
423,Sportpark Voorland,3635606,2,2,2,0,0,0,1,0,0,0,0,0,2,0,1,1,1,1,0,0,GROENLINKS
424,Science Park Zuid,3635608,2,2,2,0,0,0,1,0,0,0,0,0,2,1,1,1,2,1,0,0,GROENLINKS
425,Science Park Noord,3635607,2,2,2,0,0,1,1,0,1,0,1,0,2,0,1,1,2,1,0,0,GROENLINKS
426,Amstel III deel C/D Noord,3639202,1,2,2,1,1,0,1,1,0,1,1,0,2,1,1,0,2,1,0,1,GROENLINKS
427,Hoofdcentrum Zuidoost,3639200,1,2,2,1,1,0,1,1,0,1,0,1,2,0,1,0,1,2,0,1,GROENLINKS
428,Amstel III deel A/B Noord,3639201,1,2,2,1,1,0,2,1,1,1,1,1,2,0,1,0,1,2,0,1,GROENLINKS
429,Hoge Dijk,3639206,2,2,2,1,1,0,0,0,0,1,0,0,2,1,1,0,0,1,0,1,GROENLINKS
430,Amstel III deel A/B Zuid,3639203,2,2,2,1,1,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,GROENLINKS
431,Amstel III deel C/D Zuid,3639204,2,0,2,1,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,GROENLINKS
432,AMC,3639205,1,0,2,1,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,GROENLINKS
433,Amsterdamse Poort,3639304,2,0,1,2,1,0,0,2,1,1,0,1,2,0,0,0,0,1,0,2,Artikel 1
434,D-buurt,3639302,2,2,1,2,1,1,0,0,1,1,0,1,2,0,0,0,1,1,0,2,Artikel 1
435,F-buurt,3639303,2,2,1,2,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,2,Artikel 1
436,Venserpolder Oost,3639301,1,0,1,2,1,1,1,0,1,0,1,1,1,0,0,0,0,1,0,2,Artikel 1
437,Hoptille,3639305,2,0,1,2,1,1,0,0,1,0,0,0,2,0,0,0,0,1,0,2,Artikel 1
438,Nelson Mandelapark,3639310,2,0,1,2,1,1,0,0,0,1,1,0,2,1,0,0,0,1,1,2,Artikel 1
439,Hakfort/Huigenbos,3639307,2,0,1,2,1,1,0,0,1,1,1,0,2,1,0,0,0,1,1,2,Artikel 1
440,Rechte H-buurt,3639306,2,0,1,2,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,2,Artikel 1
441,Huntum,3639308,2,0,1,2,1,0,0,1,0,1,0,0,0,1,0,1,0,1,1,2,Artikel 1
442,Venserpolder West,3639300,2,0,1,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,2,Artikel 1
443,Vogeltjeswei,3639309,2,0,1,2,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,2,Artikel 1
444,E-buurt,3639400,2,2,2,2,1,1,1,0,1,0,0,1,1,0,0,1,0,1,1,2,Artikel 1
445,G-buurt West,3639401,2,0,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,2,Artikel 1
446,G-buurt Noord,3639412,2,0,2,2,1,1,0,0,1,0,0,0,2,0,0,0,0,1,0,2,Artikel 1
447,Bijlmermuseum Noord,3639402,2,0,2,2,1,1,0,1,1,0,0,0,1,1,0,0,0,1,0,2,Artikel 1
448,G-buurt Oost,3639409,2,0,2,2,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,2,Artikel 1
449,Kantershof,3639410,2,0,2,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,Artikel 1
450,Grunder/Koningshoef,3639408,2,2,2,2,1,1,0,0,1,0,0,0,1,1,0,1,0,1,1,2,Artikel 1
451,K-buurt Midden,3639405,2,1,2,2,1,1,0,1,1,1,0,1,2,0,0,0,0,1,0,2,Artikel 1
452,Bijlmermuseum Zuid,3639413,2,0,2,2,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,2,Artikel 1
453,K-buurt Zuidoost,3639406,2,2,2,2,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,2,Artikel 1
454,K-buurt Zuidwest,3639407,2,2,2,2,1,1,0,0,0,0,0,0,1,1,0,1,0,1,1,2,Artikel 1
455,Kelbergen,3639404,2,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,Artikel 1
456,Kortvoort,3639403,2,0,2,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,Artikel 1
457,Gooisekant,3639411,1,2,2,2,1,0,0,0,1,0,0,0,1,1,0,0,0,1,1,2,Artikel 1
458,Gaasperdam Noord,3639603,2,0,1,2,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,GROENLINKS
459,Holendrecht Oost,3639602,2,0,1,2,1,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1,GROENLINKS
460,Reigersbos Noord,3639601,2,0,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,GROENLINKS
461,Holendrecht West,3639600,2,0,1,2,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,GROENLINKS
462,Gaasperdam Zuid,3639604,2,0,1,2,1,1,0,1,1,1,0,0,1,0,0,0,0,1,0,1,GROENLINKS
463,Reigersbos Midden,3639605,2,0,1,2,1,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,GROENLINKS
464,Reigersbos Zuid,3639606,2,0,1,2,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,GROENLINKS
465,Gein Noordwest,3639700,2,0,1,1,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,1,GROENLINKS
466,Gein Noordoost,3639702,2,0,1,1,0,0,1,0,1,1,1,0,0,0,0,1,0,1,1,1,GROENLINKS
467,Gein Zuidoost,3639703,2,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,1,GROENLINKS
468,Gein Zuidwest,3639701,2,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,GROENLINKS
469,L-buurt,3639500,2,0,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,GROENLINKS
470,Gaasperplas,3639502,2,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,GROENLINKS
471,Gaasperpark,3639501,2,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,GROENLINKS
472,Dorp Driemond,3639800,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,VVD
473,Landelijk gebied Driemond,3639801,2,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,0,VVD
