,Buurtnaam,Buurtcode,age,house_type,edu,feeling_safe,nuisance,pop_density,offices,shops,facilities,horeca,creative,tourism,single_rate,water_perc,avg_income,home_value,perc_westers,perc_man,avg_pp_household,crime_index,party
55,Bedrijventerrein Sloterdijk I,3633601,2,0,2,1,1,0,1,0,1,1,1,0,2,0,1,1,1,2,0,1,GROENLINKS
56,Langestraat e.o.,3630200,2,0,2,0,1,1,2,1,1,1,1,1,1,1,2,1,2,1,0,1,D66
57,Leliegracht e.o.,3630201,2,0,2,0,1,1,2,1,1,1,1,1,1,1,2,1,2,1,0,1,D66
58,Felix Meritisbuurt,3630202,2,0,2,0,1,1,2,2,1,2,2,2,1,1,2,1,2,1,0,1,D66
59,Leidsegracht Noord,3630203,2,0,2,0,1,1,1,1,1,1,1,1,1,1,2,1,2,1,0,1,D66
60,Anjeliersbuurt Noord,3630610,2,0,2,0,1,1,1,1,1,1,1,1,1,0,1,1,2,1,0,1,GROENLINKS
61,Anjeliersbuurt Zuid,3630611,2,0,2,0,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
62,Bloemgrachtbuurt,3630602,2,0,2,0,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
63,Driehoekbuurt,3630600,2,0,2,0,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
64,Marnixbuurt Noord,3630603,2,0,2,0,1,2,1,1,1,0,1,1,1,1,1,1,1,1,0,1,GROENLINKS
65,Zaagpoortbuurt,3630604,1,0,2,0,1,2,0,0,1,0,1,1,2,0,1,1,1,1,0,1,GROENLINKS
66,Passeerdersgrachtbuurt,3630607,2,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
67,Marnixbuurt Zuid,3630609,2,0,2,0,1,1,0,0,1,0,0,0,1,1,1,1,2,1,0,1,GROENLINKS
68,Elandsgrachtbuurt,3630606,2,0,2,0,1,1,2,2,2,1,2,2,1,1,1,1,2,1,0,1,GROENLINKS
69,Groenmarktkadebuurt,3630608,1,0,2,0,1,0,0,0,0,0,0,0,2,1,1,1,2,1,0,1,GROENLINKS
70,Marnixbuurt Midden,3630605,1,0,2,0,1,1,0,0,0,0,0,0,2,2,1,1,1,1,0,1,GROENLINKS
71,Reguliersbuurt,3630305,1,0,2,1,2,1,1,1,0,2,0,2,2,1,2,1,2,1,0,2,D66
72,Rembrandtpleinbuurt,3630304,1,0,2,1,2,1,1,1,0,2,1,2,2,1,2,1,2,1,0,2,D66
73,Amstelveldbuurt,3630303,2,0,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,0,2,D66
74,Leidsegracht Zuid,3630306,2,0,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,0,2,D66
75,Gouden Bocht,3630301,2,0,2,1,2,0,1,1,0,1,0,1,1,1,2,1,2,1,0,2,D66
76,Van Loonbuurt,3630302,2,0,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,0,2,D66
77,Spiegelbuurt,3630300,1,0,2,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,0,2,D66
78,Utrechtsebuurt Zuid,3630706,2,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,2,D66
79,Frederikspleinbuurt,3630707,2,0,2,0,1,1,1,0,1,1,1,1,1,1,1,1,2,1,0,2,D66
80,Weteringbuurt,3630704,1,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,2,D66
81,Den Texbuurt,3630705,2,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,2,D66
82,Leidsebuurt Noordoost,3630702,1,0,2,0,1,1,1,1,1,2,1,2,2,1,1,1,2,1,0,2,D66
83,Leidsebuurt Noordwest,3630700,1,0,2,0,1,1,0,0,0,1,0,1,2,0,1,1,2,1,0,2,D66
84,Leidsebuurt Zuidoost,3630703,2,0,2,0,1,1,1,0,0,1,0,1,1,1,1,1,1,1,0,2,D66
85,Leidsebuurt Zuidwest,3630701,1,0,2,0,1,1,0,0,0,1,0,1,2,1,1,1,2,1,0,2,D66
86,Sarphatistrook,3630801,1,0,2,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,GROENLINKS
87,Alexanderplein e.o.,3630804,1,0,2,0,1,1,0,0,0,0,1,0,2,1,1,1,2,1,0,1,GROENLINKS
88,Plantage,3630803,2,0,2,0,1,1,0,0,0,0,1,0,1,1,1,1,2,1,0,1,GROENLINKS
89,Weesperbuurt,3630800,2,0,2,0,1,1,1,0,1,1,1,1,1,1,1,1,2,1,0,1,GROENLINKS
90,Bedrijvengebied Zeeburgerkade,3633310,2,2,2,0,1,0,1,0,0,0,1,0,1,2,1,1,2,1,0,1,GROENLINKS
91,Bedrijvengebied Cruquiusweg,3633309,1,2,2,0,1,0,1,0,0,0,0,0,2,1,1,1,0,2,0,1,GROENLINKS
92,Bedrijvengebied Veelaan,3633308,2,0,2,0,1,0,0,0,0,1,0,0,1,1,1,1,2,1,0,1,GROENLINKS
93,Entrepot-Noordwest,3633306,2,0,2,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,0,1,GROENLINKS
94,Architectenbuurt,3633307,2,0,2,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,GROENLINKS
95,Borneo,3633305,2,1,2,0,1,2,1,0,1,1,1,1,1,2,1,1,1,1,1,1,GROENLINKS
96,Sporenburg,3633304,2,1,2,0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,1,1,GROENLINKS
97,Rietlanden,3633301,2,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,GROENLINKS
98,Java-eiland,3633302,2,0,2,0,1,1,1,0,1,1,1,1,1,2,1,1,1,1,0,1,GROENLINKS
99,KNSM-eiland,3633303,2,0,2,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,GROENLINKS
100,Oostelijke Handelskade,3633300,1,2,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,GROENLINKS
101,Vogelbuurt Zuid,3636101,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,GROENLINKS
102,IJplein e.o.,3636100,2,0,2,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,0,1,GROENLINKS
103,Vliegenbos,3636103,2,2,2,1,1,0,0,0,0,0,0,0,1,0,0,1,2,1,1,1,GROENLINKS
104,Vogelbuurt Noord,3636102,1,0,2,1,1,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,GROENLINKS
105,Bedrijventerrein Hamerstraat,3637200,1,2,2,1,1,0,1,1,1,1,1,1,2,1,0,0,2,1,0,1,GROENLINKS
106,Zamenhofstraat e.o.,3637201,1,0,2,1,1,0,1,0,1,0,1,0,2,1,0,1,0,1,0,1,GROENLINKS
107,Bedrijventerrein Nieuwendammerdijk,3637202,2,0,2,1,1,0,0,0,0,0,0,0,2,2,0,1,0,1,0,1,GROENLINKS
108,Nieuwendammmerdijk West,3636402,2,0,2,1,1,1,0,0,0,0,0,0,1,1,1,1,2,1,1,0,PVV
109,Nieuwendammerdijk Oost,3636403,2,0,2,1,1,0,0,0,0,0,0,0,1,1,1,1,2,1,1,0,PVV
110,Nieuwendammerdijk Zuid,3636404,2,0,2,1,1,0,0,0,0,0,0,0,2,1,1,1,0,0,1,0,PVV
111,Buiksloterdijk Oost,3636401,2,0,2,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,PVV
112,Buiksloterdijk West,3636400,2,0,2,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,PVV
113,Buikslotermeer Noord,3636912,2,0,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,GROENLINKS
114,Buikslotermeerplein,3636909,2,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,GROENLINKS
115,De Kleine Wereld,3636911,2,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,GROENLINKS
116,Plan van Gool,3636910,2,0,1,1,0,1,1,0,1,0,1,1,1,0,0,0,0,1,1,0,GROENLINKS
117,Rode Kruisbuurt,3636900,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,GROENLINKS
118,Loenermark,3636902,2,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,GROENLINKS
119,Elzenhagen Noord,3637402,2,1,2,1,0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,D66
120,Elzenhagen Zuid,3637401,1,2,2,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,D66
121,Nintemanterrein,3637400,2,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,1,D66
122,Tuindorp Nieuwendam West,3636200,2,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,PVV
123,Tuindorp Nieuwendam Oost,3636201,2,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0,0,PVV
124,Schellingwoude West,3637300,2,0,2,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1,0,1,VVD
125,Schellingwoude Oost,3637301,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,1,VVD
126,Schellingwoude Noord,3637302,2,0,2,0,0,0,1,0,0,0,0,0,2,0,1,1,2,0,2,1,VVD
127,Zwarte Gouw,3637304,2,0,2,0,0,0,1,0,0,0,0,0,2,0,1,1,0,1,2,1,VVD
128,Durgerdam,3637303,2,0,2,0,0,0,1,0,0,0,0,0,0,1,1,1,2,1,1,1,VVD
129,Zunderdorp,3637307,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,1,1,VVD
130,Noorderstrook West,3637308,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,1,VVD
131,Noorderstrook Oost,3637309,2,0,2,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2,0,1,VVD
132,Holysloot,3637306,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,VVD
133,Ransdorp,3637305,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,VVD
134,Baanakkerspark Zuid,3636801,2,0,2,1,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,1,DENK
135,Baanakkerspark Noord,3636800,2,0,2,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,DENK
136,Werengouw Midden,3636802,2,0,2,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,DENK
137,Markengouw Midden,3636803,2,0,2,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,DENK
138,Markengouw Zuid,3636804,2,0,2,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,DENK
139,Werengouw Zuid,3636805,2,0,2,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,DENK
140,Blauwe Zand,3636300,2,0,2,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,1,0,PVV
141,Van der Pekbuurt,3636000,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,GROENLINKS
142,Bloemenbuurt Zuid,3636001,2,0,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,GROENLINKS
143,Bloemenbuurt Noord,3636002,2,0,2,1,1,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,GROENLINKS
144,Buiksloterham,3637106,2,2,2,2,1,0,1,1,1,0,1,0,2,1,1,1,1,1,1,1,GROENLINKS
145,Overhoeks,3637107,1,2,2,2,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,GROENLINKS
146,Papaverweg e.o.,3637102,1,2,2,2,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,GROENLINKS
147,Cornelis Douwesterrein,3637104,2,2,2,2,1,0,1,0,0,0,0,0,2,1,1,0,2,1,0,1,GROENLINKS
148,NDSM terrein,3637105,2,2,2,2,1,0,1,0,1,1,1,1,2,2,1,0,1,1,0,1,GROENLINKS
149,Oostzanerdijk,3636601,2,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,2,1,1,1,PVV
150,Circus/Kermisbuurt,3636606,2,0,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,PVV
151,Molenwijk,3636605,2,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,0,1,1,1,PVV
152,Walvisbuurt,3636602,2,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,1,PVV
153,Twiske West,3636603,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,PVV
154,Noorder IJplas,3636604,2,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,PVV
155,Tuindorp Oostzaan West,3636500,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,PVV
156,Terrasdorp,3636502,2,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,0,PVV
157,Tuindorp Oostzaan Oost,3636501,2,0,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,0,PVV
158,De Bongerd,3636503,2,2,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,2,0,PVV
159,Banne Zuidwest,3637000,2,0,2,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,PVV
160,Banne Zuidoost,3637001,2,0,2,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,PVV
161,Marjoleinterrein,3637005,2,0,2,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,PVV
162,Banne Noordwest,3637002,2,0,2,1,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,1,PVV
163,Banne Noordoost,3637003,2,0,2,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,1,PVV
164,Buiksloterbreek,3637004,2,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,PVV
165,Kadoelen,3636700,2,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,VVD
166,Twiske Oost,3636701,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,VVD
167,Bretten Oost,3631107,2,2,2,2,1,0,0,0,0,0,0,0,2,1,1,1,0,1,1,1,D66
168,Sloterdijk II,3631100,1,2,2,2,1,0,1,0,0,0,0,0,2,0,1,1,1,1,0,1,D66
169,Teleport,3631105,2,2,2,2,1,0,1,1,0,1,1,1,2,0,1,1,1,2,0,1,D66
170,Sloterdijk III Oost,3631102,2,2,2,2,1,0,0,1,0,0,0,0,2,0,1,1,1,2,0,1,D66
171,Sloterdijk III West,3631103,2,2,2,2,1,0,1,1,0,1,0,0,2,0,1,1,1,2,0,1,D66
172,Bretten West,3631109,2,0,2,2,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,D66
173,De Heining,3631104,2,0,2,2,1,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,D66
174,Staatsliedenbuurt Noordoost,3631402,2,0,2,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,1,GROENLINKS
175,Fannius Scholtenbuurt,3631403,1,0,2,0,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,GROENLINKS
176,Westerstaatsman,3631404,1,0,2,0,1,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,GROENLINKS
177,Buyskade e.o.,3631405,1,0,2,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,GROENLINKS
178,De Wittenbuurt Noord,3631400,1,0,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,GROENLINKS
179,De Wittenbuurt Zuid,3631401,2,0,2,0,1,2,0,0,1,1,1,0,1,1,1,1,1,1,0,1,GROENLINKS
180,Ecowijk,3631500,2,0,2,1,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1,1,GROENLINKS
181,Bedrijvencentrum Westerkwartier,3631502,2,0,2,1,1,0,0,1,0,0,0,0,1,1,1,1,2,1,1,1,GROENLINKS
182,Markthallen,3631501,2,0,2,1,1,0,0,0,0,0,0,0,0,1,1,1,2,1,1,1,GROENLINKS
183,Marcanti,3631503,2,0,2,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,1,GROENLINKS
184,Bedrijventerrein Landlust,3633700,1,0,2,1,1,0,1,0,1,0,1,0,2,1,0,1,1,1,0,1,GROENLINKS
185,Erasmusparkbuurt Oost,3633704,1,0,2,1,1,2,1,1,1,0,1,1,1,1,0,1,1,1,1,1,GROENLINKS
186,Gibraltarbuurt,3633705,1,0,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,GROENLINKS
187,Landlust Noord,3633706,1,0,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,GROENLINKS
188,Bosleeuw,3633702,1,0,2,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,GROENLINKS
189,Landlust Zuid,3633703,1,0,2,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,GROENLINKS
190,Frederik Hendrikbuurt Noord,3631600,1,0,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,0,1,GROENLINKS
191,Frederik Hendrikbuurt Zuidoost,3631601,1,0,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,GROENLINKS
192,Frederik Hendrikbuurt Zuidwest,3631602,2,0,2,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,GROENLINKS
193,Da Costabuurt Noord,3631700,1,0,2,0,1,1,1,1,2,1,2,1,1,1,1,1,2,1,0,1,GROENLINKS
194,Bellamybuurt Noord,3631800,1,0,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,GROENLINKS
195,Bellamybuurt Zuid,3631801,1,0,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,GROENLINKS
196,Borgerbuurt,3631901,2,0,2,1,1,2,1,1,1,0,1,1,1,1,1,1,0,1,0,1,GROENLINKS
197,Da Costabuurt Zuid,3631900,1,0,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,0,1,GROENLINKS
198,Lootsbuurt,3631902,1,0,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,GROENLINKS
199,Helmersbuurt Oost,3632000,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,0,1,D66
200,WG-terrein,3632001,2,0,2,1,1,1,1,1,2,1,2,1,1,0,1,1,1,1,0,1,D66
201,Cremerbuurt Oost,3632002,1,0,2,1,1,2,1,1,1,1,1,1,2,0,1,1,2,1,0,1,D66
202,Vondelparkbuurt Oost,3632200,2,0,2,0,0,1,1,1,1,1,1,1,1,0,2,1,2,1,0,0,D66
203,Vondelparkbuurt Midden,3632201,2,0,2,0,0,1,1,1,1,1,1,0,1,0,2,1,2,1,0,0,D66
204,Cremerbuurt West,3632100,1,0,2,1,1,2,2,1,2,1,2,1,2,0,1,1,2,1,0,1,D66
205,Vondelparkbuurt West,3632101,1,0,2,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,0,1,D66
206,Robert Scottbuurt West,3633900,1,0,2,2,1,1,1,0,1,0,1,1,1,1,0,0,0,1,0,1,DENK
207,Kolenkitbuurt Noord,3633903,2,0,2,2,1,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,DENK
208,Kolenkitbuurt Zuid,3633902,1,1,2,2,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,DENK
209,Laan van Spartaan,3633901,1,2,2,2,1,1,0,0,1,0,0,1,2,1,0,1,0,1,0,1,DENK
210,Erasmusparkbuurt West,3633802,1,0,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,GROENLINKS
211,Robert Scottbuurt Oost,3633803,1,0,2,1,1,2,1,1,1,1,1,0,1,0,1,1,0,1,0,1,GROENLINKS
212,Mercatorpark,3634103,1,0,2,1,1,1,0,0,0,0,0,0,2,0,0,1,0,2,0,1,GROENLINKS
213,John Franklinbuurt,3634100,1,0,2,1,1,2,1,1,1,1,1,1,2,0,0,1,1,1,0,1,GROENLINKS
214,Jan Maijenbuurt,3634101,1,0,2,1,1,2,1,1,1,1,1,1,1,0,0,1,0,1,0,1,GROENLINKS
215,Orteliusbuurt Noord,3634102,1,0,2,1,1,2,0,0,1,0,1,0,1,0,0,1,0,1,0,1,GROENLINKS
216,Geuzenhofbuurt,3634000,1,0,2,1,1,1,1,0,1,1,1,1,2,1,1,1,2,1,0,1,GROENLINKS
217,Trompbuurt,3634001,1,0,2,1,1,2,1,1,1,1,1,1,2,0,1,1,1,1,0,1,GROENLINKS
218,Pieter van der Doesbuurt,3634002,1,0,2,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,GROENLINKS
219,Orteliusbuurt Zuid,3634203,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,GROENLINKS
220,Orteliusbuurt Midden,3634202,1,0,2,1,1,2,1,1,1,0,1,1,1,0,1,1,1,1,0,1,GROENLINKS
221,Balboaplein e.o.,3634200,1,0,2,1,1,2,1,1,1,1,1,1,1,0,1,1,0,1,0,1,GROENLINKS
222,Columbusplein e.o.,3634201,1,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,0,1,GROENLINKS
223,Kortenaerkwartier,3637500,1,0,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,GROENLINKS
224,Filips van Almondekwartier,3637501,1,0,2,0,1,2,1,0,1,1,1,1,2,0,1,1,1,1,0,0,GROENLINKS
225,Van Brakelkwartier,3637503,1,0,2,0,1,2,0,0,0,0,1,0,1,1,1,1,0,1,1,0,GROENLINKS
226,De Wester Quartier,3637502,1,0,2,0,1,2,1,0,1,0,1,1,1,1,1,1,0,1,0,0,GROENLINKS
227,Rembrandtpark Noord,3638602,1,0,1,1,1,0,0,0,0,0,0,0,2,1,0,1,2,1,0,1,DENK
228,Rembrandtpark Zuid,3638603,1,0,1,1,1,0,1,0,0,0,1,0,2,1,0,1,2,1,0,1,DENK
229,Overtoomse Veld Noord,3638600,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,DENK
230,Lucas/Andreasziekenhuis e.o.,3638605,2,1,1,1,1,0,0,0,0,0,0,0,2,0,0,0,2,1,0,1,DENK
231,Overtoomse Veld Zuid,3638601,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,1,DENK
232,Johan Jongkindbuurt,3638604,2,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,DENK
233,Paramariboplein e.o.,3634300,1,0,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,0,1,D66
234,Postjeskade e.o.,3634301,1,0,2,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,D66
235,Andreasterrein,3638701,1,2,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,D66
236,Koningin Wilhelminaplein,3638700,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,D66
237,Delflandpleinbuurt Oost,3638702,1,0,2,1,1,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,D66
238,Schipluidenbuurt,3638705,2,2,2,1,1,1,0,1,0,0,1,0,2,0,1,0,1,1,0,1,D66
239,Delflandpleinbuurt West,3638703,1,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,D66
240,Riekerhaven,3638704,2,2,2,1,1,0,1,0,0,0,0,0,2,0,1,0,0,2,0,1,D66
241,Westlandgrachtbuurt,3634401,1,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,D66
242,Surinamepleinbuurt,3634400,1,0,2,0,1,1,1,0,1,1,1,0,1,1,1,1,2,1,0,1,D66
243,Legmeerpleinbuurt,3634404,1,0,2,0,1,2,1,1,1,1,1,0,1,1,1,1,2,1,0,1,D66
244,Aalsmeerwegbuurt Oost,3634403,1,0,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,D66
245,Aalsmeerwegbuurt West,3634402,1,0,2,0,1,2,1,1,1,1,1,1,2,1,1,1,2,1,0,1,D66
246,Bedrijventerrein Schinkel,3634405,2,1,2,0,1,0,1,1,0,0,1,0,2,1,1,1,2,1,0,1,D66
247,Bedrijvenpark Lutkemeer,3638002,2,1,2,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,DENK
248,Ookmeer,3638000,2,0,2,1,1,0,0,0,0,0,0,0,2,0,1,1,1,1,0,0,DENK
249,Osdorper Bovenpolder,3638001,2,0,2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,DENK
250,De Aker Oost,3638402,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,VVD
251,De Aker West,3638401,2,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,VVD
252,Middelveldsche Akerpolder,3638400,2,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,1,1,0,VVD
253,Jacob Geelbuurt,3638502,2,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,GROENLINKS
254,Oostoever Sloterplas,3638500,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,GROENLINKS
255,Emanuel van Meterenbuurt,3638501,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,GROENLINKS
256,Jacques Veldmanbuurt,3638901,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,GROENLINKS
257,Louis Crispijnbuurt,3638900,2,0,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,GROENLINKS
258,Staalmanbuurt,3638902,2,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,0,1,1,0,GROENLINKS
259,Medisch Centrum Slotervaart,3638903,2,0,1,1,0,0,0,0,1,0,1,0,2,0,0,1,0,1,0,0,GROENLINKS
260,Buurt 3,3637600,2,0,2,2,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,DENK
261,Buurt 2,3637601,1,0,2,2,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,DENK
262,Buurt 4 Oost,3637702,2,0,2,2,1,1,0,1,1,1,0,1,1,0,0,0,0,1,1,2,DENK
263,Slotermeer Zuid,3637700,1,0,2,2,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,2,DENK
264,Noordoever Sloterplas,3637701,2,0,2,2,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,2,DENK
265,Buurt 5 Zuid,3637705,2,0,2,2,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,2,DENK
266,Buurt 5 Noord,3637703,2,0,2,2,1,1,1,1,1,0,1,1,1,0,0,0,0,1,1,2,DENK
267,Sloterpark,3637704,2,0,2,2,1,0,0,0,0,0,1,0,2,1,0,1,0,1,0,2,DENK
268,Nieuwe Meer,3638802,2,0,1,1,1,0,0,0,1,0,1,0,2,1,1,1,2,1,0,1,VVD
269,Riekerpolder,3638800,1,0,1,1,1,0,1,0,0,0,0,0,2,0,1,1,1,1,0,1,VVD
270,Sloterweg e.o.,3638803,2,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,VVD
271,Dorp Sloten,3638809,2,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,2,1,1,1,VVD
272,Nieuw Sloten Noordoost,3638805,2,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,1,VVD
273,Nieuw Sloten Zuidwest,3638807,2,0,1,1,1,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,VVD
274,Nieuw Sloten Zuidoost,3638808,2,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,VVD
